"wallet","chain","asset","raw_value_in","raw_value_out","value_unit","value_in_usd_est","distinct_senders","distinct_recipients","out_cnt","active_days","hours_of_day_active","night_share","round100_share","pass_through","is_accumulator","informal_score","anomaly_score","is_anomaly","is_sanctioned","hops_to_sanctioned","risk_score","attributability","risk_attribution_score","risk_tags","risk_categories","risk_source_count","is_known_risk","confirmed","label_name","label_tags"
"0x00f503370b6cfd14a742427e79b2859bd8d86df9","ethereum","USDT",85024.61639299993,0.0,"USDT",85024.61639299993,224,0,0,68,24,0.35267857142857145,0.044642857142857144,0.0,True,0.3561281337047354,-0.02102554947150881,True,False,"",41.3,"",0,"[]","[]",0,False,False,"",""
"0x8d962aa68f3da54d56877b9a8375b728c0613b56","ethereum","USDT",92168.22355899999,0.0,"USDT",92168.22355899999,210,0,0,11,24,0.18404907975460122,0.081799591002045,0.0,True,0.3867688022284122,-0.015345813065812286,True,False,"",41.1,"",0,"[]","[]",0,False,False,"",""
"0x972c08af800631109c9755ac0fe536120bc21057","ethereum","USDT",26840.41,0.0,"USDT",26840.41,202,0,0,10,21,0.04395604395604396,0.06227106227106227,0.0,True,0.3671309192200557,-0.015900010527321817,True,False,"",40.7,"",0,"[]","[]",0,False,False,"",""
"0x648199c2cb1cf5aff759a951983416a2f8f9e4e8","ethereum","USDT",510336.2109019998,0.0,"USDT",510336.2109019998,121,0,0,33,24,0.19143876337693222,0.1117717003567182,0.0,True,0.34637883008356546,-0.016903411266170565,True,False,"",40.3,"",0,"[]","[]",0,False,False,"",""
"0x76b8c86e26ce0b8da968b37ab97b4b80481209db","ethereum","USDT",440352.75799600006,440901.7,"USDT",440352.75799600006,123,18,24,26,23,0.21777777777777776,0.2222222222222222,1.0012465960392711,False,0.679277143187689,0.032989790260075424,False,False,"",40.2,"",0,"[]","[]",0,False,False,"",""
"0xfdf75145954399e6694785437548aa07eaad681f","ethereum","USDT",236899.41123300005,73525.524727,"USDT",236899.41123300005,993,4,20,80,24,0.26858275520317143,0.09117938553022795,0.31036600869676584,True,0.5435495248591303,0.01353938229549212,False,False,"",40.1,"",0,"[]","[]",0,False,False,"",""
"0x28d0e0503726f62170f38d8496458877c12e4df4","ethereum","USDT",15110.199741000006,15110.022431000001,"USDT",15110.199741000006,51,18,23,17,20,0.09523809523809523,0.07936507936507936,0.9999882655422798,False,0.43620935227280133,-0.002580533222555359,True,False,"",40.1,"",0,"[]","[]",0,False,False,"",""
"0x5f9acf4e85aa7283e0c16dd94cbc942f9d625151","ethereum","USDT",1324521.8927189996,1367402.519886,"USDT",1324521.8927189996,234,4,20,89,24,0.13259668508287292,0.06393054459352802,1.0323744193302644,False,0.7248621634877076,0.0410488064450788,False,False,"",39.9,"",0,"[]","[]",0,False,False,"",""
"0x9f006a5328d2f5fd44bbb728168620ba60863a70","ethereum","USDT",607427.889407,1000.0,"USDT",607427.889407,548,4,14,42,24,0.20460526315789473,0.05131578947368421,0.0016462859500512028,True,0.4386300928446063,-0.0008621283119744083,True,False,"",39.9,"",0,"[]","[]",0,False,False,"",""
"0xa2f2372fa2ce8064610c72aa3c20a8b809d66c63","ethereum","USDT",103448.17268499997,103000.0,"USDT",103448.17268499997,376,2,4,5,9,0.002652519893899204,0.4827586206896552,0.9956676597240179,False,0.9709998272094276,0.07911476133178147,False,False,"",39.6,"",0,"[]","[]",0,False,False,"",""
"0x7637b6063b942a219909e7584af64c3be139b30a","ethereum","USDT",379700.7378719999,379700.0,"USDT",379700.7378719999,570,4,8,12,14,0.007309941520467836,0.16666666666666666,0.9999980567011694,False,0.950974541702351,0.07594504935345636,False,False,"",39.6,"",0,"[]","[]",0,False,False,"",""
"0x92ea49b6e51de747f6cec1b4e07c78ce4bd72bc6","ethereum","USDT",20413.94813899999,21144.508139,"USDT",20413.94813899999,259,1,25,25,17,0.22393822393822393,0.0,1.035787295775691,False,0.7339288918197922,0.04836465283295499,False,False,"",38.9,"",0,"[]","[]",0,False,False,"",""
"0xec590f69d0cbe1d5d9512c484940232d601e7860","ethereum","USDT",515184.5515340001,400787.66323199996,"USDT",515184.5515340001,616,11,20,84,24,0.19273301737756715,0.0,0.7779496920834001,False,0.5675676542941173,0.023757398858675116,False,False,"",38.9,"",0,"[]","[]",0,False,False,"",""
"0xabf865f07dfc60fad147b1118ad06e986a7d2056","ethereum","USDT",162778.23147699994,162778.231377,"USDT",162778.23147699994,583,3,3,1,1,1.0,0.04974271012006861,0.9999999993856675,False,0.7377437324676628,0.0499554860153984,False,False,"",38.7,"",0,"[]","[]",0,False,False,"",""
"0x042405da38b82c825c48144e93fe6d31eeb3606b","ethereum","USDT",41750.51066600002,41750.508023999995,"USDT",41750.51066600002,392,14,15,1,3,0.9974489795918368,0.02040816326530612,0.9999999367193364,False,0.654038984558352,0.03974537528349764,False,False,"",38.4,"",0,"[]","[]",0,False,False,"",""
"0x706aa393f29e10f99d1a7fb1311a7c34c7d28822","ethereum","USDT",20245.036155999995,20333.852431,"USDT",20245.036155999995,78,16,19,12,11,0.024096385542168676,0.7228915662650602,1.0043870642816157,False,0.7794847041353203,0.06429519034756909,False,False,"",37.3,"",0,"[]","[]",0,False,False,"",""
"0x29cdee4041b0d691944c5b832032fa73de182e65","ethereum","USDT",90150.68590600001,0.0,"USDT",90150.68590600001,50,0,0,1,2,0.0,0.44,0.0,True,0.3417827298050139,0.0025559511869498452,False,False,"",36.9,"",0,"[]","[]",0,False,False,"",""
"0xe865f239279350272892c30d450be9465ca3b8fa","ethereum","USDT",621438.064401,621438.064401,"USDT",621438.064401,159,3,24,17,24,0.2502685284640172,0.0053705692803437165,1.0,False,0.6310584958217271,0.04785252122479883,False,False,"",36.4,"",0,"[]","[]",0,False,False,"",""
"0xd1c538e88b8436fb1056c44c3fdab028f3a45bb7","ethereum","USDT",223463.0819160001,223463.081916,"USDT",223463.0819160001,465,12,20,24,24,0.39920948616600793,0.0533596837944664,0.9999999999999994,False,0.6891364902506963,0.05689620580332355,False,False,"",36.3,"",0,"[]","[]",0,False,False,"",""
"0x0a967bd313289b5543a1020dbf7e58609f1c2449","ethereum","USDT",13600.076313,0.0,"USDT",13600.076313,65,0,0,14,16,0.02631578947368421,0.32894736842105265,0.0,True,0.4193593314763232,0.017703534820569633,False,False,"",36.3,"",0,"[]","[]",0,False,False,"",""
"0x34d67e70d689323eb03a1bef04b322663b6c276a","ethereum","USDT",57865.44135999999,57861.282333999996,"USDT",57865.44135999999,97,12,23,17,24,0.2236024844720497,0.0,0.9999281259089666,False,0.49371821571104124,0.029116997682006485,False,False,"",36.2,"",0,"[]","[]",0,False,False,"",""
"0x11a7526a267ff202c919a16c577aaf213241649c","ethereum","USDT",141112.19285200004,0.0,"USDT",141112.19285200004,202,2,4,79,24,0.05314009661835749,0.18357487922705315,0.0,True,0.4694986072423398,0.025639386348737192,False,False,"",36.2,"",0,"[]","[]",0,False,False,"",""
"0x26db368c5009fd78164d9440645a08835a7df489","ethereum","USDT",15955.696517,15955.696517,"USDT",15955.696517,197,1,1,2,2,0.949238578680203,0.08121827411167512,1.0,False,0.6772980501392757,0.05826918316467172,False,False,"",35.8,"",0,"[]","[]",0,False,False,"",""
"0xe37c9d39ae8f819ba0077d51bf4f62a6fbd0f6a0","ethereum","USDT",356059.7044369999,0.0,"USDT",356059.7044369999,126,0,0,34,24,0.13962264150943396,0.1660377358490566,0.0,True,0.3706128133704736,0.014510166374616329,False,False,"",35.6,"",0,"[]","[]",0,False,False,"",""
"0x7f7375cd22730845d8c5c90d7ff539781efb7dea","ethereum","USDT",52942.701025,52942.0,"USDT",52942.701025,122,19,22,2,6,0.16326530612244897,0.006802721088435374,0.9999867587979754,False,0.7043149005061132,0.06393245318187896,False,False,"",35.5,"",0,"[]","[]",0,False,False,"",""
"0x5a9f2f8f0508e2ac7bcfe6f3ef2e822c852ce48f","ethereum","USDT",90063.06918799998,0.0,"USDT",90063.06918799998,159,0,0,1,1,1.0,0.16352201257861634,0.0,True,0.39415041782729804,0.01871193633122925,False,False,"",35.5,"",0,"[]","[]",0,False,False,"",""
"0xb8721bcaff22c756e7a2ead2c404c14730e6a7cc","ethereum","USDT",39920.62502699999,39726.08878399999,"USDT",39920.62502699999,91,15,15,13,15,0.20149253731343283,0.5746268656716418,0.9951269239179391,False,0.8036214850621394,0.08203475733160148,False,False,"",34.9,"",0,"[]","[]",0,False,False,"",""
"0xcf8260f4921e622a6a546d703a99a7d91435e9de","ethereum","USDT",84997.21262399999,155.0,"USDT",84997.21262399999,193,1,3,9,15,0.010101010101010102,0.04040404040404041,0.0018235892121035728,True,0.48588003817668257,0.03681179724921496,False,False,"",34.7,"",0,"[]","[]",0,False,False,"",""
"0x20b2a2fc71a2584659aba7fdfa1ab219d64b5523","ethereum","USDT",37278.318995,0.0,"USDT",37278.318995,55,0,0,2,4,0.01818181818181818,0.14545454545454545,0.0,True,0.34289693593314763,0.017829777476375708,False,False,"",34.3,"",0,"[]","[]",0,False,False,"",""
"0x55035a3e39ae0e7ebc004949799e5c2c377afc0a","ethereum","USDT",134543.28275399999,145521.21,"USDT",134543.28275399999,195,13,23,89,24,0.23510466988727857,0.001610305958132045,1.0815940195696885,False,0.5747675470609926,0.052635831771799035,False,False,"",34.2,"",0,"[]","[]",0,False,False,"",""
"0x98123302ebc563d3a6b31756ffcc280c1c21d1b2","ethereum","USDT",137880.309035,137880.294929,"USDT",137880.309035,72,17,20,1,5,0.9594594594594594,0.12162162162162163,0.9999998976938759,False,0.5569637678396109,0.051265564849024337,False,False,"",34.0,"",0,"[]","[]",0,False,False,"",""
"0x6e87bc70a030ce1f19e11c0fd89533e8f82ca2e7","ethereum","USDT",15084.233467000004,0.0,"USDT",15084.233467000004,107,0,0,31,9,0.0,0.007575757575757576,0.0,True,0.3905292479108635,0.027195608520650172,False,False,"",33.9,"",0,"[]","[]",0,False,False,"",""
"0xccf5e0c3625fd2cd0d2ad951634a0793cce14902","ethereum","USDT",576439.864609,295578.0,"USDT",576439.864609,466,3,6,6,20,0.008492569002123142,0.14437367303609341,0.5127646752892272,False,0.6943356648628595,0.07288698867112375,False,False,"",33.7,"",0,"[]","[]",0,False,False,"",""
"0x9cff7022aec825b5551055752e9f1ad2547b61f3","ethereum","USDT",107212.32357800003,0.0,"USDT",107212.32357800003,145,0,0,35,11,0.27696793002915454,0.08454810495626822,0.0,True,0.3541782729805014,0.025085188225561272,False,False,"",33.4,"",0,"[]","[]",0,False,False,"",""
"0xaf6f7be3985728ed008d19b0e6e5203d6f98009e","ethereum","USDT",89519.23717200001,80000.0,"USDT",89519.23717200001,440,4,6,15,21,0.5852017937219731,0.6322869955156951,0.8936626643309081,False,0.8083982710277415,0.09246522883071917,False,False,"",33.3,"",0,"[]","[]",0,False,False,"",""
